iter	Passed	Remaining
455	810	16966
456	812	16960
457	813	16954
458	815	16942
459	816	16934
460	818	16929
461	819	16926
462	821	16918
463	822	16910
464	824	16903
465	825	16895
466	827	16887
467	828	16878
468	830	16875
469	831	16868
470	833	16871
471	835	16866
472	836	16857
473	838	16857
474	840	16850
475	841	16841
476	843	16837
477	844	16829
478	846	16824
479	847	16817
480	849	16810
481	851	16811
482	852	16806
483	854	16798
484	855	16791
485	857	16785
486	858	16778
487	860	16772
488	862	16770
489	863	16763
490	865	16765
491	867	16766
492	869	16760
493	870	16752
494	871	16740
495	873	16735
496	874	16724
497	876	16720
498	877	16712
499	879	16713
500	881	16711
501	883	16714
502	886	16736
503	888	16740
504	890	16740
505	892	16739
506	893	16736
507	895	16729
508	896	16722
509	898	16714
510	899	16709
511	901	16710
512	903	16706
513	905	16706
514	908	16725
515	910	16729
516	912	16734
517	915	16760
518	918	16775
519	920	16778
520	921	16774
521	925	16806
522	928	16819
523	929	16813
524	931	16807
525	932	16802
526	934	16796
527	936	16791
528	937	16791
529	939	16792
530	944	16835
531	946	16838
532	947	16829
533	948	16819
534	950	16810
535	951	16804
536	955	16839
537	959	16871
538	961	16879
539	963	16875
540	964	16869
541	966	16863
542	967	16857
543	971	16879
544	974	16900
545	976	16906
546	977	16898
547	979	16889
548	980	16883
549	982	16876
550	983	16868
551	986	16878
552	987	16877
553	989	16874
554	991	16867
555	992	16861
556	994	16854
557	995	16849
558	997	16842
559	998	16834
560	1000	16827
561	1002	16831
562	1003	16827
563	1005	16821
564	1007	16817
565	1008	16813
566	1010	16808
567	1011	16802
568	1013	16794
569	1014	16786
570	1016	16780
571	1017	16772
572	1019	16767
573	1020	16762
574	1022	16754
575	1023	16750
576	1025	16743
577	1026	16736
578	1028	16731
579	1029	16726
580	1031	16720
581	1032	16713
582	1034	16707
583	1035	16702
584	1037	16693
585	1038	16690
586	1040	16683
587	1041	16673
588	1043	16673
589	1045	16667
590	1046	16661
591	1048	16657
592	1049	16651
593	1055	16708
594	1057	16709
595	1059	16716
596	1061	16716
597	1063	16714
598	1064	16710
599	1066	16705
600	1068	16703
601	1069	16700
602	1071	16701
603	1073	16702
604	1077	16725
605	1079	16734
606	1081	16732
607	1082	16728
608	1084	16729
609	1086	16727
610	1088	16723
611	1091	16737
612	1094	16754
613	1096	16756
614	1098	16756
615	1099	16753
616	1101	16747
617	1103	16746
618	1104	16742
619	1106	16736
620	1108	16736
621	1109	16733
622	1111	16729
623	1112	16723
624	1115	16725
625	1116	16723
626	1118	16722
627	1120	16720
628	1122	16720
629	1124	16717
630	1125	16712
631	1127	16708
632	1128	16706
633	1130	16701
634	1132	16694
635	1133	16688
636	1134	16682
637	1136	16677
638	1137	16670
639	1139	16665
640	1141	16660
641	1142	16654
642	1144	16652
643	1145	16648
644	1147	16645
645	1149	16639
646	1150	16635
647	1152	16630
648	1153	16624
649	1155	16619
650	1156	16615
651	1158	16611
652	1160	16604
653	1161	16602
654	1163	16596
655	1165	16597
656	1166	16592
657	1168	16591
658	1170	16586
659	1171	16582
660	1173	16577
661	1174	16571
662	1176	16566
663	1177	16560
664	1179	16552
665	1180	16548
666	1182	16541
667	1183	16538
668	1185	16535
669	1186	16529
670	1188	16523
671	1190	16520
672	1191	16514
673	1193	16508
674	1194	16503
675	1196	16498
676	1197	16493
677	1199	16489
678	1201	16488
679	1202	16486
680	1204	16481
681	1206	16477
682	1208	16479
683	1210	16487
684	1212	16485
685	1213	16481
686	1215	16477
687	1218	16485
688	1219	16481
689	1221	16476
690	1222	16471
691	1224	16467
692	1226	16467
693	1227	16462
694	1229	16458
695	1231	16458
696	1232	16454
697	1234	16450
698	1235	16445
699	1237	16440
