,Владельцы,Владение,ПТС,Привод,Руль,Состояние,Таможня,bodyType,brand,color,complectation_dict,description,engineDisplacement,enginePower,equipment_dict,fuelType,image,mileage,modelDate,model_info,model_name,name,numberOfDoors,parsing_unixtime,priceCurrency,productionDate,sell_id,super_gen,vehicleConfiguration,vehicleTransmission,vendor,car_url,price
611,1 владелец,,Оригинал,передний,Левый,Не требует ремонта,Растаможен,седан,FORD,чёрный,{'id': '0'},"ПТС оригинал
Один владелец за все время эксплуатации
Автомобиль полностью в заводском лакокрасочном покрытии
Полный комплект ключей
• Выездная оценка и выкуп автомобилей• Выкуп 1 днём• Автокредитование• Обмен по программе  ""Trade in ""•  КомиссияКомпания Боравто - 15 лет на автомобильном рынке России!",1.6 LTR,125 N12,"{'abs': True, 'front-seats-heat': True, 'ya-auto': True, 'wheel-power': True, 'alarm': True, 'rear-camera': True, 'climate-control-2': True, 'electro-mirrors': True}",бензин,https://avatars.mds.yandex.net/get-autoru-vos/5479042/1b81abf8cae56d6bd33a3e8d2b8595be/320x240,98432,2014,"{'code': 'FOCUS', 'name': 'Focus', 'ru_name': 'Фокус', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Focus,1.6 AMT,4,1637881508.4529622,RUB,2017,1105863639-8cd87c2f,"{'id': '20243246', 'name': 'III Рестайлинг', 'ru_name': '3 Рестайлинг', 'year_from': 2014, 'year_to': 2019, 'price_segment': 'MEDIUM'}",SEDAN ROBOT 1.6,роботизированная,AMERICAN,https://auto.ru/cars/used/sale/ford/focus/1105863639-8cd87c2f/,1120000.0
612,3 или более,,Оригинал,передний,Левый,Не требует ремонта,Растаможен,универсал 5 дв.,FORD,чёрный,{'id': '0'},"По факту 1 собственник. Авто в хорошем состоянии для своего пробега и возраста. 
Звоните, на все вопросы отвечу. Звонки принимаю с 17:00 до 22:00",2.0 LTR,150 N12,{},бензин,https://autoru.naydex.net/1Uh7vv497/dfd57avP4N/SqphCD1WCiQ9dC6Izpp6TCKy8UGtUVbQREr8dcRAQZ8xiKlE-UmD1Rxhea0Ugmv4PUSzgJlMU9en-SXBBeXoTAi_bxBxAUQnKCQ_w9bFfw8_-acA-gYehhgbuAX8ZHTwD7KPYsx14MIGZjm2VMQHlyUG6t3-SCSS05B7lCeE-A#DSD,203500,2011,"{'code': 'FOCUS', 'name': 'Focus', 'ru_name': 'Фокус', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Focus,2.0 AMT,5,1637881509.9047484,RUB,2013,1104936070-07f706ea,"{'id': '7306596', 'name': 'III', 'ru_name': '3', 'year_from': 2011, 'year_to': 2015, 'price_segment': 'MEDIUM'}",WAGON_5_DOORS ROBOT 2.0,роботизированная,AMERICAN,https://auto.ru/cars/used/sale/ford/focus/1104936070-07f706ea/,490000.0
613,3 или более,,Дубликат,передний,Левый,Не требует ремонта,Растаможен,седан,FORD,серебристый,{'id': '0'},"Продам Фокус 3 в богатой комплектации! Сделано большое ТО - поменяны масло в ДВС, все фильтра, тормозные колодки, ремень генератора, трос ручника, корпус термостата с датчиком, требующие замены элементы ходовой, подушка двигателя. Всего сейчас не упомнить. Делалась для себя и на совесть. Сделаны диагностика двигателя и КПП - ошибок нет. Все контакты где обслуживалась дам, за машину не стыдно. Сейчас вложений не требует никаких - ходовая, движок, коробка в идеале - сел и поехал, все что нужно было сделать - сделано. Все работает, до последней мелочи! 
Комплектация - сигналка с автозапуском, кондёр, обогрев зеркал и лобового, камера заднего вида, магнитола с блютуз, aux и usb японские литые диски Yamato, зимняя резина Hankook, 2 ключа.
За 450, 470, 490 не отдам. Торга нет. Кому интересно торговаться, могу поставить 530 и скинуть до 500.",1.6 LTR,105 N12,"{'alloy-wheel-disks': True, 'bluetooth': True, 'usb': True, 'aux': True, 'mirrors-heat': True, 'audiosystem-cd': True, 'rear-camera': True}",бензин,https://autoru.naydex.net/1Uh7vv497/dfd57avP4N/SqphCD1WCiQ9dC6Izpp6TCKy8UGtUVbQREr8dcRAQZ8xiKlE-UmD1Rxhea0SiWz4PESzgclNV9Kjo3GaX-W-H1jpPhYmVhl0enQ6zdbAJg0_-fUA-gYehhgbuAX8ZHTwD7KPYsx14MIGZjm2VMQHlyUG6t3-SCSS05B7lCeE-A#DSD,202000,2011,"{'code': 'FOCUS', 'name': 'Focus', 'ru_name': 'Фокус', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Focus,1.6 AMT,4,1637881511.5568852,RUB,2012,1106000522-d110ba8b,"{'id': '7306596', 'name': 'III', 'ru_name': '3', 'year_from': 2011, 'year_to': 2015, 'price_segment': 'MEDIUM'}",SEDAN ROBOT 1.6,роботизированная,AMERICAN,https://auto.ru/cars/used/sale/ford/focus/1106000522-d110ba8b/,500000.0
614,3 или более,,Оригинал,передний,Левый,Не требует ремонта,Растаможен,седан,FORD,серый,{'id': '0'},"Ford Focus 2, 2008 г. Рестайлинг, в прекрасном состоянии!
ПТС оригинал 3 записи, но по факту 2 владельца
Техническая часть близка к идеальной!
Двигатель шепчет, не дымит, масло не расходует
По ходовой абсолютная тишина, все менялось во время и согласно регламенту
Коробка переключает плавно без пинков, рывков и прочего 
Кузов без гнили, ржавчины, т.к. автомобиль не видел в своей жизни реагентов !!!
Печка греет, кондиционер охлаждает
Два комплекта колёс на дисках",1.6 LTR,100 N12,{},бензин,https://avatars.mds.yandex.net/get-autoru-vos/5490388/127349afa713a38ad74525ff1e57fb8f/320x240,178000,2007,"{'code': 'FOCUS', 'name': 'Focus', 'ru_name': 'Фокус', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Focus,1.6 AT,4,1637881512.9859154,RUB,2008,1106061041-9f671aaf,"{'id': '2306579', 'name': 'II Рестайлинг', 'ru_name': '2 Рестайлинг', 'year_from': 2007, 'year_to': 2011, 'price_segment': 'MEDIUM'}",SEDAN AUTOMATIC 1.6,автоматическая,AMERICAN,https://auto.ru/cars/used/sale/ford/focus/1106061041-9f671aaf/,432000.0
615,3 или более,9 месяцев,Оригинал,передний,Левый,Не требует ремонта,Растаможен,фургон,FORD,красный,{'id': '0'},"Продаю рабочую лошадку, по факту 2 владельца.Вложений не требует, полностью обслужена,  все подтверждающие документы есть. Автомобиль в отличном состоянии. Торг адекватным у капота. Перекупам, автосалоном не звонить!!",1.8 LTR,90 N12,{},дизель,https://autoru.naydex.net/1Uh7vv497/dfd57avP4N/SqphCD1WCiQ9dC6Izpp6TCKy8UGtUVbQREr8dcRAQZ8xiKlE-UmD1RxheawWhm7xMkCzh5kYAoSl8ybJAOPsGg3ha0UkBE99fCVqydjEJg1q_aAA-gYehhgbuAX8ZHTwD7KPYsx14MIGZjm2VMQHlyUG6t3-SCSS05B7lCeE-A#DSD,184000,2002,"{'code': 'TRANSIT_CONNECT', 'name': 'Transit Connect', 'ru_name': 'Транзит Коннект', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Transit Connect,1.8 MT,3,1637881514.5565035,RUB,2008,1105908089-71f2e8a4,"{'id': '20078729', 'name': 'I', 'ru_name': '1', 'year_from': 2002, 'year_to': 2009, 'price_segment': 'MEDIUM'}",VAN MECHANICAL 1.8,механическая,AMERICAN,https://auto.ru/cars/used/sale/ford/transit_connect/1105908089-71f2e8a4/,550000.0
616,3 или более,2 года,Оригинал,передний,Левый,Не требует ремонта,Растаможен,хэтчбек 5 дв.,FORD,серебристый,{'id': '0'},"С УЧЁТОМ ВСЕХ НЕДОСТАТКОВ И НЕОБХОДИМЫХ ВЛОЖЕНИЙ СКОРРЕКТИРОВАНА СТОИМОСТЬ!
 В родном окрасе хороший боец, служил верой и правдой! 
В суровую ЗИМУ 20/21 заводился!
Владею с ноября 2019 года.
ОБОГРЕВ лобового стекла,
ПОДОГРЕВ передних сидений!
Хорошая МУЗЫКА!
Стеклоподъемник спереди.
Требует планового обслуживания: ходовка, замена расходников. Желательно поменять:
 передние тормозные диски (колодки уже куплены), на задние барабаны тоже есть колодки;
грм; задние стойки.
Полезли ёжики.. и на задней двери стал слазить хром где весел значок ford. 
Есть комплект летней резины без дисков. 
Средняя цена 415₽
Замена масла , фильтра. ",1.6 LTR,100 N12,{'aux': True},бензин,https://avatars.mds.yandex.net/get-autoru-vos/1977683/5926a2bab3d5ec7e4ab8ec65c44e4c82/320x240,170000,2007,"{'code': 'FOCUS', 'name': 'Focus', 'ru_name': 'Фокус', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Focus,1.6 AT,5,1637881515.9508739,RUB,2008,1103617816-35d213d6,"{'id': '2306579', 'name': 'II Рестайлинг', 'ru_name': '2 Рестайлинг', 'year_from': 2007, 'year_to': 2011, 'price_segment': 'MEDIUM'}",HATCHBACK_5_DOORS AUTOMATIC 1.6,автоматическая,AMERICAN,https://auto.ru/cars/used/sale/ford/focus/1103617816-35d213d6/,355000.0
617,3 или более,,Оригинал,передний,Левый,Не требует ремонта,Растаможен,седан,FORD,серебристый,{'id': '0'},Год выпуска: 2005. Пробег: 76 000 км. Кузов: седан. Цвет: серебристый. Двигатель: 2.0 л / 145 л.с. / Бензин. Налог: 5 075 ₽ / год. Коробка: механическая. Привод: передний. Руль: Левый. Состояние: Не требует ремонта. Владельцы: 3 или более. ПТС: Оригинал. Таможня: Растаможен. VIN: X9F**************. Госномер: ******|47. ,2.0 LTR,145 N12,{},бензин,https://avatars.mds.yandex.net/get-autoru-vos/2049647/9410997fbe98ac84d097dabd4e142b74/320x240,76000,2004,"{'code': 'FOCUS', 'name': 'Focus', 'ru_name': 'Фокус', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Focus,2.0 MT,4,1637881517.296494,RUB,2005,1106044227-b9372a9e,"{'id': '3480337', 'name': 'II', 'ru_name': '2', 'year_from': 2004, 'year_to': 2008, 'price_segment': 'MEDIUM'}",SEDAN MECHANICAL 2.0,механическая,AMERICAN,https://auto.ru/cars/used/sale/ford/focus/1106044227-b9372a9e/,347000.0
618,2 владельца,,Оригинал,задний,Левый,Не требует ремонта,Растаможен,внедорожник 5 дв.,FORD,белый,{'id': '0'},"Отличный лимузин категория д производство сша ,рассчитан на 30 мест, длина 13 метров,технически исправен, требуют внимания борта ,",6.8 LTR,314 N12,{},бензин,https://autoru.naydex.net/1Uh7vv497/dfd57avP4N/SqphCD1WCiQ9dC6Izpp6TCKy8UGtUVbQREr8dcRAQZ8xiKlE-UmD1Rxhea0UgmrxN0azhJ9JAoCj9nXOVO2_SQzoaUQiVkpyfXRuztHHfAg5_6AA-gYehhgbuAX8ZHTwD7KPYsx14MIGZjm2VMQHlyUG6t3-SCSS05B7lCeE-A#DSD,157000,1999,"{'code': 'EXCURSION', 'name': 'Excursion', 'ru_name': 'Экскьюршн', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Excursion,6.8 AT,5,1637881518.7038655,RUB,2002,1105569044-a9e491eb,"{'id': '4721203', 'year_from': 1999, 'year_to': 2005, 'price_segment': 'MEDIUM'}",ALLROAD_5_DOORS AUTOMATIC 6.8,автоматическая,AMERICAN,https://auto.ru/cars/used/sale/ford/excursion/1105569044-a9e491eb/,300000.0
619,3 или более,,Оригинал,полный,Левый,Не требует ремонта,Растаможен,внедорожник 5 дв.,FORD,чёрный,{'id': '0'},"Машина крутая) в собственности с 2015г.
Про машину все знаю и все расскажу. 
Достойная не стыдно !
По факту 2 собственника
Пробег реальный 
В дтп не была. ( любые проверки приветствуются ) 
Расход топлива на ее объём 14л.
Цепи, помпу,свечи,ходовую и тд - перебирали весной ( заказ наряды есть ) 
До 150.000 обслуживалась у ОФ(в книжке все есть ) 
Комплект летней резины. 
Машина вложений не требует! 

Из минусов 
На вод.сиденье боковая подушка есть трещина. 

Суть продажи, купил новую машину. 
Продаю не торопясь.
Осмотр в МО Ивантеевка. 
Торг реальному покупателю.
Звоните с 10:00- 21:00 буду благодарен.",3.5 LTR,288 N12,{},бензин,https://avatars.mds.yandex.net/get-autoru-vos/5541977/5dc186fd713e95c794377c4b3dff6525/320x240,197900,2010,"{'code': 'EDGE', 'name': 'Edge', 'ru_name': 'Эйдж', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Edge,3.5 AT,5,1637881520.1864974,RUB,2014,1106015215-41ac7e33,"{'id': '10402577', 'name': 'I Рестайлинг', 'ru_name': '1 Рестайлинг', 'year_from': 2010, 'year_to': 2014, 'price_segment': 'MEDIUM'}",ALLROAD_5_DOORS AUTOMATIC 3.5,автоматическая,AMERICAN,https://auto.ru/cars/used/sale/ford/edge/1106015215-41ac7e33/,1025000.0
620,3 или более,1 год и 9 месяцев,Дубликат,передний,Левый,Не требует ремонта,Растаможен,хэтчбек 5 дв.,FORD,серый,"{'id': '2321544', 'name': 'Comfort', 'available_options': ['airbag-passenger', 'lock', 'electro-mirrors', 'mirrors-heat', 'computer', 'seat-transformation', 'wheel-power', 'fabric-seats', 'steel-wheels', 'abs', 'audiopreparation', 'body-mouldings', 'condition', 'airbag-driver', 'isofix', 'electro-window-front', 'migration-flag', 'wheel-configuration2', 'wheel-configuration1', 'immo', '12v-socket']}","Авто в хорошем состоянии, раздельный климат, подогрев сидений, кондиционер холодит, подвеска не грюкает, коробка автомат работает исправно не пинается, зимняя резина в комплекте, срочно! Небольшой торг при осмотре, обмен не интересует.",1.6 LTR,100 N12,"{'cruise-control': True, 'esp': True, 'airbag-driver': True, 'isofix': True, 'aux': True, 'electro-window-front': True, 'light-sensor': True, 'multi-wheel': True, 'airbag-passenger': True, 'front-centre-armrest': True, 'computer': True, 'seat-transformation': True, 'wheel-power': True, 'lock': True, 'door-sill-panel': True, 'fabric-seats': True, 'electro-mirrors': True, 'electro-window-back': True, 'steel-wheels': True, 'leather-gear-stick': True, 'ptf': True, '16-inch-wheels': True, 'rain-sensor': True, 'airbag-side': True, 'mirrors-heat': True, 'hatch': True, 'audiosystem-cd': True, 'body-mouldings': True, 'cooling-box': True, 'abs': True, 'wheel-configuration2': True, 'wheel-leather': True, 'wheel-configuration1': True, 'immo': True, 'climate-control-1': True, '12v-socket': True, 'third-rear-headrest': True}",бензин,https://avatars.mds.yandex.net/get-autoru-vos/5231844/a8febaf27dce7659cc61f80c1a9f3cd4/320x240,234600,2007,"{'code': 'FOCUS', 'name': 'Focus', 'ru_name': 'Фокус', 'morphology': {}, 'nameplate': {'code': '', 'name': '', 'semantic_url': ''}}",Focus,1.6 AT,5,1637881521.7709353,RUB,2009,1105829654-b8fce1eb,"{'id': '2306579', 'name': 'II Рестайлинг', 'ru_name': '2 Рестайлинг', 'year_from': 2007, 'year_to': 2011, 'price_segment': 'MEDIUM'}",HATCHBACK_5_DOORS AUTOMATIC 1.6,автоматическая,AMERICAN,https://auto.ru/cars/used/sale/ford/focus/1105829654-b8fce1eb/,430000.0
